Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Order,Net_Revenue
ORD1021,CUST152,Electronics,CREDIT CARD,1091.185,0,2,2,4.0,No,Tier 2,0,On-Time,True,1091.185
ORD1022,CUST101,Beauty,UPI,1194.18,5,7,8,4.0,No,Tier 1,1,Unknown,Same,1134.471
ORD1023,CUST187,Home & Kitchen,CASH ON DELIVERY,1137.04,15,6,6,4.0,No,Tier 2,0,On-Time,True,966.4839999999999
ORD1024,CUST335,Electronics,UPI,1091.185,10,5,5,4.0,No,Tier 2,0,On-Time,True,982.0665
ORD1025,CUST257,Home & Kitchen,CREDIT CARD,1137.04,20,6,5,2.0,No,Tier 2,-1,Early,True,909.6320000000001
ORD1026,CUST137,Home & Kitchen,DEBIT CARD,1137.04,30,2,2,4.0,Yes,Tier 2,0,On-Time,True,795.9279999999999
ORD1027,CUST229,Fashion,CASH ON DELIVERY,1006.55,10,4,4,4.0,No,Tier 2,0,On-Time,True,905.895
ORD1028,CUST291,Electronics,UPI,1091.185,20,7,9,2.0,No,Tier 3,2,Unknown,True,872.948
ORD1029,CUST287,Home & Kitchen,UPI,1137.04,5,6,7,3.0,No,Tier 2,1,Unknown,True,1080.1879999999999
ORD1030,CUST120,Fashion,CREDIT CARD,1006.55,10,3,3,5.0,No,Tier 3,0,On-Time,True,905.895
ORD1031,CUST260,Books,UPI,1146.7800000000002,15,5,9,5.0,No,Tier 3,4,Severe Delay,True,974.7630000000001
ORD1032,CUST303,Fashion,UPI,1006.55,5,6,7,2.0,No,Tier 1,1,Unknown,True,956.2225
ORD1033,CUST157,Beauty,UPI,1194.18,10,5,9,2.0,No,Tier 1,4,Severe Delay,Same,1074.7620000000002
ORD1034,CUST121,Home & Kitchen,CASH ON DELIVERY,1137.04,0,7,7,3.0,No,Tier 1,0,On-Time,True,1137.04
ORD1035,CUST335,Home & Kitchen,CASH ON DELIVERY,1137.04,10,3,3,5.0,Yes,Tier 3,0,On-Time,True,1023.336
ORD1036,CUST188,Beauty,CASH ON DELIVERY,1194.18,30,4,3,2.0,No,Tier 1,-1,Early,Same,835.926
ORD1037,CUST148,Fashion,CREDIT CARD,1006.55,30,4,5,4.0,No,Tier 2,1,Unknown,True,704.5849999999999
ORD1038,CUST318,Electronics,CASH ON DELIVERY,1091.185,15,3,2,2.0,Yes,Tier 3,-1,Early,True,927.5072499999999
ORD1039,CUST158,Electronics,UPI,1091.185,15,5,5,4.0,No,Tier 1,0,On-Time,True,927.5072499999999
ORD1040,CUST269,Books,UPI,1146.7800000000002,10,7,7,3.0,No,Tier 2,0,On-Time,True,1032.1020000000003
ORD1041,CUST319,Home & Kitchen,DEBIT CARD,1137.04,10,6,6,4.0,No,Tier 1,0,On-Time,True,1023.336
ORD1042,CUST287,Home & Kitchen,UPI,1137.04,0,3,4,3.0,No,Tier 1,1,Unknown,True,1137.04
ORD1043,CUST307,Electronics,UPI,1091.185,10,2,2,4.0,No,Tier 2,0,On-Time,True,982.0665
ORD1044,CUST114,Electronics,CASH ON DELIVERY,1091.185,10,5,5,3.0,No,Tier 1,0,On-Time,True,982.0665
ORD1045,CUST289,Electronics,CREDIT CARD,1091.185,50,4,5,4.0,No,Tier 1,1,Unknown,True,545.5925
ORD1046,CUST289,Fashion,UPI,1006.55,10,3,7,5.0,No,Tier 3,4,Severe Delay,True,905.895
ORD1047,CUST274,Home & Kitchen,CREDIT CARD,1137.04,10,4,5,2.0,No,Tier 1,1,Unknown,True,1023.336
ORD1048,CUST289,Fashion,UPI,1006.55,10,5,9,5.0,No,Tier 3,4,Severe Delay,True,905.895
ORD1049,CUST150,Fashion,UPI,1006.55,15,4,5,4.0,No,Tier 3,1,Unknown,True,855.5675
ORD1050,CUST207,Beauty,CREDIT CARD,1194.18,15,3,3,2.0,No,Tier 1,0,On-Time,Same,1015.053
ORD1051,CUST154,Fashion,UPI,1006.55,5,5,5,3.0,No,Tier 1,0,On-Time,True,956.2225
ORD1052,CUST343,Fashion,UPI,1006.55,10,2,3,2.0,Yes,Tier 2,1,Unknown,True,905.895
ORD1053,CUST163,Books,CREDIT CARD,1146.7800000000002,20,3,4,4.0,No,Tier 2,1,Unknown,True,917.4240000000002
ORD1054,CUST348,Fashion,UPI,1006.55,10,6,7,4.0,No,Tier 1,1,Unknown,True,905.895
ORD1055,CUST230,Home & Kitchen,DEBIT CARD,1137.04,5,7,7,2.0,No,Tier 2,0,On-Time,True,1080.1879999999999
ORD1056,CUST328,Beauty,UPI,1194.18,15,3,3,4.0,Yes,Tier 1,0,On-Time,Same,1015.053
ORD1057,CUST150,Beauty,CASH ON DELIVERY,1194.18,20,5,5,5.0,No,Tier 3,0,On-Time,Same,955.344
ORD1058,CUST234,Electronics,UPI,1091.185,0,7,7,5.0,No,Tier 1,0,On-Time,True,1091.185
ORD1059,CUST120,Beauty,DEBIT CARD,1194.18,20,3,3,4.0,No,Tier 1,0,On-Time,Same,955.344
ORD1060,CUST172,Fashion,CASH ON DELIVERY,1006.55,20,2,4,4.0,No,Tier 1,2,Unknown,True,805.24
ORD1061,CUST266,Fashion,CASH ON DELIVERY,1006.55,10,2,2,4.0,No,Tier 3,0,On-Time,True,905.895
ORD1062,CUST117,Fashion,UPI,1006.55,50,6,5,3.0,No,Tier 2,-1,Early,True,503.275
ORD1063,CUST231,Beauty,CREDIT CARD,1194.18,20,4,4,5.0,No,Tier 3,0,On-Time,Same,955.344
ORD1064,CUST188,Fashion,UPI,1006.55,20,7,8,4.0,Yes,Tier 1,1,Unknown,True,805.24
ORD1065,CUST159,Fashion,DEBIT CARD,1006.55,15,5,5,4.0,No,Tier 1,0,On-Time,True,855.5675
ORD1066,CUST113,Home & Kitchen,CASH ON DELIVERY,1137.04,0,5,5,4.0,No,Tier 1,0,On-Time,True,1137.04
ORD1067,CUST341,Electronics,UPI,1091.185,5,4,4,5.0,No,Tier 2,0,On-Time,True,1036.62575
ORD1068,CUST349,Electronics,CREDIT CARD,1091.185,10,2,2,5.0,No,Tier 2,0,On-Time,True,982.0665
ORD1069,CUST108,Electronics,UPI,1091.185,5,2,6,3.0,No,Tier 2,4,Severe Delay,True,1036.62575
ORD1070,CUST189,Electronics,UPI,1091.185,10,3,7,3.0,No,Tier 1,4,Severe Delay,True,982.0665
ORD1071,CUST152,Electronics,CREDIT CARD,1091.185,30,6,6,4.0,No,Tier 3,0,On-Time,True,763.8294999999999
ORD1072,CUST229,Electronics,DEBIT CARD,1091.185,20,7,7,4.0,No,Tier 1,0,On-Time,True,872.948
ORD1073,CUST183,Home & Kitchen,CASH ON DELIVERY,1137.04,15,6,7,3.0,Yes,Tier 3,1,Unknown,True,966.4839999999999
ORD1074,CUST191,Electronics,UPI,1091.185,30,6,5,4.0,No,Tier 1,-1,Early,True,763.8294999999999
ORD1075,CUST210,Fashion,CREDIT CARD,1006.55,20,3,3,4.0,Yes,Tier 2,0,On-Time,True,805.24
ORD1076,CUST287,Beauty,UPI,1194.18,10,6,6,3.0,No,Tier 1,0,On-Time,Same,1074.7620000000002
ORD1077,CUST298,Fashion,CREDIT CARD,1006.55,5,4,8,2.0,Yes,Tier 1,4,Severe Delay,True,956.2225
ORD1078,CUST271,Home & Kitchen,UPI,1137.04,10,3,2,3.0,No,Tier 2,-1,Early,True,1023.336
ORD1079,CUST107,Electronics,DEBIT CARD,1091.185,15,4,4,5.0,No,Tier 1,0,On-Time,True,927.5072499999999
ORD1080,CUST274,Electronics,CASH ON DELIVERY,1091.185,10,3,4,3.0,No,Tier 1,1,Unknown,True,982.0665
ORD1081,CUST134,Electronics,DEBIT CARD,1091.185,15,6,6,2.0,No,Tier 2,0,On-Time,True,927.5072499999999
ORD1082,CUST305,Electronics,UPI,1091.185,0,4,3,4.0,Yes,Tier 2,-1,Early,True,1091.185
ORD1083,CUST180,Fashion,CREDIT CARD,1006.55,15,4,11,3.0,No,Tier 3,7,Severe Delay,True,855.5675
ORD1084,CUST263,Electronics,UPI,1091.185,20,4,4,1.0,No,Tier 1,0,On-Time,True,872.948
ORD1085,CUST149,Electronics,UPI,1091.185,15,3,4,3.0,No,Tier 2,1,Unknown,True,927.5072499999999
ORD1086,CUST203,Electronics,CREDIT CARD,1091.185,50,5,5,4.0,No,Tier 2,0,On-Time,True,545.5925
ORD1087,CUST231,Fashion,CREDIT CARD,1006.55,20,6,6,4.0,No,Tier 1,0,On-Time,True,805.24
ORD1088,CUST101,Electronics,UPI,1091.185,30,4,4,3.0,No,Tier 2,0,On-Time,True,763.8294999999999
ORD1089,CUST233,Fashion,DEBIT CARD,1006.55,30,7,6,3.0,No,Tier 1,-1,Early,True,704.5849999999999
ORD1090,CUST153,Fashion,UPI,1006.55,20,5,4,4.0,No,Tier 1,-1,Early,True,805.24
ORD1091,CUST205,Home & Kitchen,UPI,1137.04,15,7,9,3.0,No,Tier 1,2,Unknown,True,966.4839999999999
ORD1092,CUST103,Electronics,DEBIT CARD,1091.185,0,6,6,3.0,No,Tier 1,0,On-Time,True,1091.185
ORD1093,CUST153,Books,UPI,1146.7800000000002,10,6,6,3.0,No,Tier 2,0,On-Time,True,1032.1020000000003
ORD1094,CUST320,Home & Kitchen,UPI,1137.04,10,4,4,4.0,Yes,Tier 2,0,On-Time,True,1023.336
ORD1095,CUST290,Electronics,CREDIT CARD,1091.185,5,4,5,4.0,No,Tier 3,1,Unknown,True,1036.62575
ORD1096,CUST245,Beauty,CREDIT CARD,1194.18,5,3,2,3.0,No,Tier 2,-1,Early,Same,1134.471
ORD1097,CUST317,Beauty,DEBIT CARD,1194.18,50,5,5,4.0,No,Tier 1,0,On-Time,Same,597.09
ORD1098,CUST143,Electronics,CASH ON DELIVERY,1091.185,30,5,4,1.0,Yes,Tier 3,-1,Early,True,763.8294999999999
ORD1099,CUST261,Fashion,DEBIT CARD,1006.55,20,4,3,3.0,Yes,Tier 3,-1,Early,True,805.24
ORD1100,CUST301,Books,CASH ON DELIVERY,1146.7800000000002,10,6,5,4.0,No,Tier 1,-1,Early,True,1032.1020000000003
ORD1101,CUST289,Home & Kitchen,UPI,1137.04,0,4,6,3.0,No,Tier 2,2,Unknown,True,1137.04
ORD1102,CUST327,Electronics,UPI,1091.185,0,6,5,4.0,Yes,Tier 3,-1,Early,True,1091.185
ORD1103,CUST113,Electronics,UPI,1091.185,5,6,5,3.0,No,Tier 2,-1,Early,True,1036.62575
ORD1104,CUST194,Fashion,CASH ON DELIVERY,1006.55,0,4,4,4.0,No,Tier 3,0,On-Time,True,1006.55
ORD1105,CUST147,Fashion,UPI,1006.55,0,2,4,1.0,No,Tier 1,2,Unknown,True,1006.55
ORD1106,CUST114,Home & Kitchen,CREDIT CARD,1137.04,30,5,5,5.0,Yes,Tier 1,0,On-Time,True,795.9279999999999
ORD1107,CUST299,Fashion,CASH ON DELIVERY,1006.55,15,7,7,2.0,No,Tier 1,0,On-Time,True,855.5675
ORD1108,CUST305,Fashion,DEBIT CARD,1006.55,5,6,5,5.0,No,Tier 2,-1,Early,True,956.2225
ORD1109,CUST314,Home & Kitchen,CREDIT CARD,1137.04,0,6,6,3.0,Yes,Tier 3,0,On-Time,True,1137.04
ORD1110,CUST348,Electronics,CREDIT CARD,1091.185,10,2,2,4.0,No,Tier 3,0,On-Time,True,982.0665
ORD1111,CUST289,Fashion,DEBIT CARD,1006.55,0,7,7,3.0,No,Tier 1,0,On-Time,True,1006.55
ORD1112,CUST139,Home & Kitchen,CREDIT CARD,1137.04,30,3,3,5.0,No,Tier 1,0,On-Time,True,795.9279999999999
ORD1113,CUST312,Beauty,CASH ON DELIVERY,1194.18,10,2,2,2.0,No,Tier 3,0,On-Time,Same,1074.7620000000002
ORD1114,CUST307,Fashion,UPI,1006.55,10,7,6,2.0,Yes,Tier 2,-1,Early,True,905.895
ORD1115,CUST336,Fashion,CREDIT CARD,1006.55,5,2,2,4.0,Yes,Tier 1,0,On-Time,True,956.2225
ORD1116,CUST181,Electronics,CASH ON DELIVERY,1091.185,0,6,5,2.0,No,Tier 2,-1,Early,True,1091.185
ORD1117,CUST210,Fashion,UPI,1006.55,15,5,6,2.0,No,Tier 2,1,Unknown,True,855.5675
ORD1118,CUST152,Fashion,CASH ON DELIVERY,1006.55,15,2,6,5.0,No,Tier 2,4,Severe Delay,True,855.5675
ORD1119,CUST123,Electronics,UPI,1091.185,15,3,10,4.0,No,Tier 2,7,Severe Delay,True,927.5072499999999
ORD1120,CUST253,Fashion,CASH ON DELIVERY,1006.55,0,4,6,3.0,No,Tier 1,2,Unknown,True,1006.55
ORD1121,CUST316,Fashion,DEBIT CARD,1006.55,10,7,8,5.0,No,Tier 3,1,Unknown,True,905.895
ORD1122,CUST287,Electronics,UPI,1091.185,10,2,3,4.0,No,Tier 2,1,Unknown,True,982.0665
ORD1123,CUST223,Fashion,UPI,1006.55,30,2,2,3.0,No,Tier 1,0,On-Time,True,704.5849999999999
ORD1124,CUST336,Electronics,DEBIT CARD,1091.185,5,3,4,4.0,No,Tier 1,1,Unknown,True,1036.62575
ORD1125,CUST140,Fashion,CASH ON DELIVERY,1006.55,5,5,5,4.0,No,Tier 2,0,On-Time,True,956.2225
ORD1126,CUST256,Electronics,UPI,1091.185,15,2,2,4.0,Yes,Tier 1,0,On-Time,True,927.5072499999999
ORD1127,CUST114,Beauty,UPI,1194.18,15,2,3,3.0,No,Tier 1,1,Unknown,Same,1015.053
ORD1128,CUST144,Home & Kitchen,DEBIT CARD,1137.04,10,5,5,4.0,No,Tier 2,0,On-Time,True,1023.336
ORD1129,CUST164,Home & Kitchen,UPI,1137.04,10,3,3,1.0,No,Tier 1,0,On-Time,True,1023.336
ORD1130,CUST188,Books,CASH ON DELIVERY,1146.7800000000002,10,7,11,2.0,Yes,Tier 2,4,Severe Delay,True,1032.1020000000003
ORD1131,CUST170,Fashion,UPI,1006.55,30,7,6,1.0,No,Tier 1,-1,Early,True,704.5849999999999
ORD1132,CUST108,Electronics,CREDIT CARD,1091.185,10,2,2,4.0,No,Tier 2,0,On-Time,True,982.0665
ORD1133,CUST187,Fashion,DEBIT CARD,1006.55,30,5,9,5.0,No,Tier 1,4,Severe Delay,True,704.5849999999999
ORD1134,CUST228,Home & Kitchen,UPI,1137.04,10,2,3,4.0,No,Tier 1,1,Unknown,True,1023.336
ORD1135,CUST335,Home & Kitchen,CASH ON DELIVERY,1137.04,30,4,4,4.0,Yes,Tier 1,0,On-Time,True,795.9279999999999
ORD1136,CUST235,Fashion,CASH ON DELIVERY,1006.55,20,7,7,3.0,No,Tier 3,0,On-Time,True,805.24
ORD1137,CUST315,Electronics,UPI,1091.185,5,6,6,2.0,No,Tier 3,0,On-Time,True,1036.62575
ORD1138,CUST162,Fashion,CASH ON DELIVERY,1006.55,30,4,6,3.0,No,Tier 1,2,Unknown,True,704.5849999999999
ORD1139,CUST238,Fashion,UPI,1006.55,0,2,2,3.0,No,Tier 2,0,On-Time,True,1006.55
ORD1140,CUST342,Home & Kitchen,UPI,1137.04,30,3,3,4.0,No,Tier 2,0,On-Time,True,795.9279999999999
ORD1141,CUST180,Home & Kitchen,UPI,1137.04,15,7,6,4.0,No,Tier 3,-1,Early,True,966.4839999999999
ORD1142,CUST235,Fashion,CREDIT CARD,1006.55,0,6,5,1.0,Yes,Tier 1,-1,Early,True,1006.55
ORD1143,CUST262,Beauty,UPI,1194.18,15,4,8,1.0,No,Tier 2,4,Severe Delay,Same,1015.053
ORD1144,CUST262,Home & Kitchen,CREDIT CARD,1137.04,50,7,7,2.0,No,Tier 1,0,On-Time,True,568.52
ORD1145,CUST132,Electronics,CASH ON DELIVERY,1091.185,0,5,6,3.0,No,Tier 1,1,Unknown,True,1091.185
ORD1146,CUST222,Electronics,CREDIT CARD,1091.185,10,3,2,5.0,No,Tier 3,-1,Early,True,982.0665
ORD1147,CUST104,Electronics,CASH ON DELIVERY,1091.185,15,4,5,4.0,No,Tier 2,1,Unknown,True,927.5072499999999
ORD1148,CUST333,Electronics,CASH ON DELIVERY,1091.185,20,5,9,5.0,Yes,Tier 1,4,Severe Delay,True,872.948
ORD1149,CUST330,Electronics,DEBIT CARD,1091.185,10,2,2,4.0,No,Tier 1,0,On-Time,True,982.0665
ORD1150,CUST349,Electronics,UPI,1091.185,5,5,4,3.0,Yes,Tier 2,-1,Early,True,1036.62575
ORD1151,CUST140,Fashion,CASH ON DELIVERY,1006.55,0,4,4,2.0,No,Tier 2,0,On-Time,True,1006.55
ORD1152,CUST127,Electronics,DEBIT CARD,1091.185,10,4,5,5.0,No,Tier 1,1,Unknown,True,982.0665
ORD1153,CUST234,Beauty,UPI,1194.18,10,2,2,4.0,No,Tier 3,0,On-Time,Same,1074.7620000000002
ORD1154,CUST300,Electronics,CASH ON DELIVERY,1091.185,30,5,7,2.0,No,Tier 1,2,Unknown,True,763.8294999999999
ORD1155,CUST171,Fashion,CASH ON DELIVERY,1006.55,0,5,6,4.0,No,Tier 1,1,Unknown,True,1006.55
ORD1156,CUST111,Fashion,CREDIT CARD,1006.55,15,2,4,4.0,No,Tier 3,2,Unknown,True,855.5675
ORD1157,CUST261,Beauty,CREDIT CARD,1194.18,0,5,6,4.0,No,Tier 1,1,Unknown,Same,1194.18
ORD1158,CUST132,Electronics,UPI,1091.185,0,7,6,5.0,No,Tier 1,-1,Early,True,1091.185
ORD1159,CUST147,Fashion,CASH ON DELIVERY,1006.55,10,2,2,4.0,No,Tier 2,0,On-Time,True,905.895
ORD1160,CUST346,Beauty,UPI,1194.18,10,3,3,4.0,Yes,Tier 3,0,On-Time,Same,1074.7620000000002
ORD1161,CUST250,Beauty,CREDIT CARD,1194.18,15,4,8,1.0,No,Tier 1,4,Severe Delay,Same,1015.053
ORD1162,CUST161,Books,UPI,1146.7800000000002,30,3,4,1.0,No,Tier 3,1,Unknown,True,802.7460000000001
ORD1163,CUST315,Fashion,CASH ON DELIVERY,1006.55,15,7,8,2.0,No,Tier 2,1,Unknown,True,855.5675
ORD1164,CUST136,Electronics,CASH ON DELIVERY,1091.185,50,7,7,1.0,No,Tier 1,0,On-Time,True,545.5925
ORD1165,CUST198,Home & Kitchen,UPI,1137.04,30,6,6,4.0,No,Tier 2,0,On-Time,True,795.9279999999999
ORD1166,CUST271,Beauty,UPI,1194.18,10,6,7,4.0,No,Tier 1,1,Unknown,Same,1074.7620000000002
ORD1167,CUST203,Home & Kitchen,CASH ON DELIVERY,1137.04,20,6,6,2.0,No,Tier 1,0,On-Time,True,909.6320000000001
ORD1168,CUST313,Home & Kitchen,CREDIT CARD,1137.04,15,2,2,5.0,No,Tier 2,0,On-Time,True,966.4839999999999
ORD1169,CUST318,Fashion,UPI,1006.55,0,5,6,2.0,No,Tier 3,1,Unknown,True,1006.55
ORD1170,CUST134,Books,UPI,1146.7800000000002,15,7,6,3.0,No,Tier 1,-1,Early,True,974.7630000000001
ORD1171,CUST292,Electronics,UPI,1091.185,0,3,3,3.0,No,Tier 1,0,On-Time,True,1091.185
ORD1172,CUST326,Fashion,CREDIT CARD,1006.55,10,3,3,3.0,No,Tier 2,0,On-Time,True,905.895
ORD1173,CUST200,Fashion,UPI,1006.55,15,3,2,3.0,No,Tier 1,-1,Early,True,855.5675
ORD1174,CUST274,Fashion,UPI,1006.55,0,3,10,4.0,Yes,Tier 1,7,Severe Delay,True,1006.55
ORD1175,CUST305,Electronics,DEBIT CARD,1091.185,5,6,6,3.0,No,Tier 1,0,On-Time,True,1036.62575
ORD1176,CUST230,Electronics,CREDIT CARD,1091.185,30,3,2,4.0,No,Tier 2,-1,Early,True,763.8294999999999
ORD1177,CUST100,Home & Kitchen,CREDIT CARD,1137.04,15,5,5,1.0,No,Tier 1,0,On-Time,True,966.4839999999999
ORD1178,CUST104,Fashion,CREDIT CARD,1006.55,5,6,7,2.0,No,Tier 1,1,Unknown,True,956.2225
ORD1179,CUST317,Home & Kitchen,DEBIT CARD,1137.04,15,3,3,1.0,No,Tier 3,0,On-Time,True,966.4839999999999
ORD1180,CUST346,Electronics,DEBIT CARD,1091.185,10,2,2,4.0,No,Tier 3,0,On-Time,True,982.0665
ORD1181,CUST241,Fashion,CASH ON DELIVERY,1006.55,10,4,3,1.0,No,Tier 2,-1,Early,True,905.895
ORD1182,CUST202,Fashion,UPI,1006.55,50,4,3,5.0,No,Tier 1,-1,Early,True,503.275
ORD1183,CUST126,Electronics,CASH ON DELIVERY,1091.185,15,4,4,4.0,Yes,Tier 2,0,On-Time,True,927.5072499999999
ORD1184,CUST236,Fashion,UPI,1006.55,5,6,8,4.0,No,Tier 1,2,Unknown,True,956.2225
ORD1185,CUST306,Electronics,DEBIT CARD,1091.185,20,3,5,4.0,No,Tier 1,2,Unknown,True,872.948
ORD1186,CUST114,Electronics,DEBIT CARD,1091.185,30,7,6,2.0,No,Tier 2,-1,Early,True,763.8294999999999
ORD1187,CUST189,Beauty,CASH ON DELIVERY,1194.18,0,7,7,2.0,No,Tier 1,0,On-Time,Same,1194.18
ORD1188,CUST141,Fashion,UPI,1006.55,5,7,11,3.0,No,Tier 1,4,Severe Delay,True,956.2225
ORD1189,CUST223,Books,CASH ON DELIVERY,1146.7800000000002,5,6,6,4.0,No,Tier 1,0,On-Time,True,1089.441
ORD1190,CUST304,Fashion,UPI,1006.55,15,5,7,3.0,No,Tier 1,2,Unknown,True,855.5675
ORD1191,CUST278,Home & Kitchen,CASH ON DELIVERY,1137.04,15,2,1,2.0,No,Tier 1,-1,Early,True,966.4839999999999
ORD1192,CUST162,Books,CREDIT CARD,1146.7800000000002,15,2,6,4.0,No,Tier 3,4,Severe Delay,True,974.7630000000001
ORD1193,CUST195,Home & Kitchen,UPI,1137.04,30,4,5,1.0,No,Tier 1,1,Unknown,True,795.9279999999999
ORD1194,CUST330,Fashion,UPI,1006.55,20,4,8,5.0,No,Tier 1,4,Severe Delay,True,805.24
ORD1195,CUST340,Fashion,UPI,1006.55,0,7,8,4.0,No,Tier 1,1,Unknown,True,1006.55
ORD1196,CUST151,Fashion,DEBIT CARD,1006.55,5,7,7,3.0,No,Tier 3,0,On-Time,True,956.2225
ORD1197,CUST195,Beauty,UPI,1194.18,10,4,8,2.0,No,Tier 2,4,Severe Delay,Same,1074.7620000000002
ORD1198,CUST231,Books,DEBIT CARD,1146.7800000000002,5,3,3,2.0,No,Tier 1,0,On-Time,True,1089.441
ORD1199,CUST321,Beauty,CASH ON DELIVERY,1194.18,15,5,5,4.0,No,Tier 3,0,On-Time,Same,1015.053
ORD1200,CUST328,Electronics,CREDIT CARD,1091.185,30,5,6,4.0,No,Tier 1,1,Unknown,True,763.8294999999999
ORD1201,CUST250,Home & Kitchen,UPI,1137.04,5,5,6,4.0,No,Tier 1,1,Unknown,True,1080.1879999999999
ORD1202,CUST330,Beauty,DEBIT CARD,1194.18,10,5,9,5.0,Yes,Tier 1,4,Severe Delay,Same,1074.7620000000002
ORD1203,CUST336,Electronics,UPI,1091.185,20,4,4,4.0,No,Tier 1,0,On-Time,True,872.948
ORD1204,CUST242,Electronics,DEBIT CARD,1091.185,10,2,3,2.0,No,Tier 1,1,Unknown,True,982.0665
ORD1205,CUST270,Home & Kitchen,UPI,1137.04,0,4,5,3.0,Yes,Tier 2,1,Unknown,True,1137.04
ORD1206,CUST128,Home & Kitchen,DEBIT CARD,1137.04,10,5,4,5.0,No,Tier 1,-1,Early,True,1023.336
ORD1207,CUST135,Books,UPI,1146.7800000000002,0,4,4,3.0,No,Tier 2,0,On-Time,True,1146.7800000000002
ORD1208,CUST112,Electronics,CASH ON DELIVERY,1091.185,30,5,5,1.0,No,Tier 1,0,On-Time,True,763.8294999999999
ORD1209,CUST259,Books,UPI,1146.7800000000002,0,6,6,4.0,No,Tier 1,0,On-Time,True,1146.7800000000002
ORD1210,CUST170,Electronics,UPI,1091.185,10,7,14,3.0,Yes,Tier 1,7,Severe Delay,True,982.0665
ORD1211,CUST286,Electronics,CREDIT CARD,1091.185,10,2,3,5.0,No,Tier 3,1,Unknown,True,982.0665
ORD1212,CUST342,Electronics,UPI,1091.185,50,6,7,4.0,Yes,Tier 1,1,Unknown,True,545.5925
ORD1213,CUST185,Books,CREDIT CARD,1146.7800000000002,0,3,10,2.0,No,Tier 2,7,Severe Delay,True,1146.7800000000002
ORD1214,CUST127,Home & Kitchen,UPI,1137.04,0,4,4,5.0,No,Tier 1,0,On-Time,True,1137.04
ORD1215,CUST165,Fashion,CREDIT CARD,1006.55,0,3,5,3.0,No,Tier 1,2,Unknown,True,1006.55
ORD1216,CUST269,Fashion,CASH ON DELIVERY,1006.55,0,4,4,3.0,No,Tier 1,0,On-Time,True,1006.55
ORD1217,CUST144,Beauty,CREDIT CARD,1194.18,5,7,9,3.0,No,Tier 1,2,Unknown,Same,1134.471
