Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier
ORD1049,CUST150,Fashion,UPI,305.8,15,4,5,4.0,No,Tier 3
ORD1050,CUST207,Beauty,Credit Card,811.73,15,3,3,2.0,No,Tier 1
ORD1051,CUST154,Fashion,upi,3091.33,5,5,5,3.0,No,Tier 1
ORD1052,CUST343,Fashion,UPI,2180.45,10,2,3,2.0,Yes,Tier 2
ORD1053,CUST163,Books,Credit Card,492.09,20,3,4,4.0,No,Tier 2
ORD1054,CUST348,Fashion,UPI,954.2,10,6,7,4.0,No,Tier 1
ORD1055,CUST230,Home & Kitchen,Debit Card,2236.11,5,7,7,2.0,No,Tier 2
ORD1056,CUST328,Beauty,upi,283.71,15,3,3,4.0,Yes,Tier 1
ORD1057,CUST150,Beauty,Cash on Delivery,,20,5,5,5.0,No,Tier 3
ORD1058,CUST234,Electronics,UPI,2491.37,0,7,7,5.0,No,Tier 1
ORD1059,CUST120,Beauty,Debit Card,820.81,20,3,3,4.0,No,Tier 1
ORD1060,CUST172,Fashion,Cash on Delivery,296.95,20,2,4,,No,Tier 1
ORD1061,CUST266,Fashion,Cash on Delivery,1138.46,10,2,2,4.0,No,Tier 3
ORD1062,CUST117,Fashion,UPI,2574.36,50,6,5,3.0,No,Tier 2
ORD1063,CUST231,Beauty,Credit Card,1270.75,20,4,4,5.0,No,Tier 3
ORD1064,CUST188,Fashion,UPI,507.85,20,7,8,4.0,Yes,Tier 1
ORD1065,CUST159,Fashion,Debit Card,781.88,15,5,5,4.0,No,Tier 1
ORD1066,CUST113,Home & Kitchen,Cash on Delivery,917.67,0,5,5,4.0,No,Tier 1
ORD1067,CUST341,Electronics,UPI,1238.91,5,4,4,5.0,No,Tier 2
ORD1068,CUST349,Electronics,Credit Card,1909.3,10,2,2,5.0,No,Tier 2
ORD1069,CUST108,Electronics,UPI,324.93,5,2,6,3.0,No,Tier 2
ORD1070,CUST189,Electronics,upi,2844.94,10,3,7,3.0,No,Tier 1
ORD1071,CUST152,Electronics,Credit Card,214.86,30,6,6,4.0,No,Tier 3
ORD1072,CUST229,Electronics,Debit Card,754.54,20,7,7,4.0,No,Tier 1
ORD1073,CUST183,Home & Kitchen,Cash on Delivery,233.36,15,6,7,3.0,Yes,Tier 3
ORD1074,CUST191,Electronics,UPI,799.02,30,6,5,4.0,No,Tier 1
ORD1075,CUST210,Fashion,Credit Card,1095.38,20,3,3,4.0,Yes,Tier 2
ORD1076,CUST287,Beauty,upi,1060.14,10,6,6,3.0,No,Tier 1
ORD1077,CUST298,Fashion,Credit Card,417.29,5,4,8,2.0,Yes,Tier 1
ORD1078,CUST271,Home & Kitchen,upi,1445.27,10,3,2,3.0,No,Tier 2
ORD1079,CUST107,Electronics,Debit Card,254.97,15,4,4,5.0,No,Tier 1
ORD1080,CUST274,Electronics,Cash on Delivery,1922.11,10,3,4,3.0,No,Tier 1
ORD1081,CUST134,Electronics,Debit Card,3716.93,15,6,6,2.0,No,Tier 2
ORD1082,CUST305,Electronics,UPI,698.2,0,4,3,4.0,Yes,Tier 2
ORD1083,CUST180,Fashion,Credit Card,1073.88,15,4,11,3.0,No,Tier 3
ORD1084,CUST263,Electronics,upi,771.54,20,4,4,1.0,No,Tier 1
ORD1085,CUST149,Electronics,upi,208.08,15,3,4,3.0,No,Tier 2
ORD1086,CUST203,Electronics,Credit Card,785.07,50,5,5,4.0,No,Tier 2
ORD1087,CUST231,Fashion,Credit Card,2082.65,20,6,6,4.0,No,Tier 1
ORD1088,CUST101,Electronics,UPI,1287.58,30,4,4,3.0,No,Tier 2
ORD1089,CUST233,Fashion,Debit Card,328.11,30,7,6,3.0,No,Tier 1
ORD1090,CUST153,Fashion,upi,2453.88,20,5,4,,No,Tier 1
ORD1091,CUST205,Home & Kitchen,UPI,1108.8,15,7,9,3.0,No,Tier 1
ORD1092,CUST103,Electronics,Debit Card,2412.09,0,6,6,3.0,No,Tier 1
ORD1093,CUST153,Books,UPI,1241.63,10,6,6,3.0,No,Tier 2
ORD1094,CUST320,Home & Kitchen,upi,1184.33,10,4,4,4.0,Yes,Tier 2
ORD1095,CUST290,Electronics,Credit Card,333.47,5,4,5,4.0,No,Tier 3
ORD1096,CUST245,Beauty,Credit Card,419.78,5,3,2,3.0,No,Tier 2
ORD1097,CUST317,Beauty,Debit Card,4491.74,50,5,5,4.0,No,Tier 1
ORD1098,CUST143,Electronics,Cash on Delivery,511.28,30,5,4,1.0,Yes,Tier 3
ORD1099,CUST261,Fashion,Debit Card,4750.54,20,4,3,3.0,Yes,Tier 3
ORD1100,CUST301,Books,Cash on Delivery,1110.92,10,6,5,4.0,No,Tier 1
ORD1101,CUST289,Home & Kitchen,UPI,375.13,0,4,6,3.0,No,Tier 2
ORD1102,CUST327,Electronics,UPI,325.5,0,6,5,4.0,Yes,Tier 3
ORD1103,CUST113,Electronics,upi,481.14,5,6,5,3.0,No,Tier 2
ORD1104,CUST194,Fashion,Cash on Delivery,3318.56,0,4,4,4.0,No,Tier 3
ORD1105,CUST147,Fashion,upi,841.63,0,2,4,1.0,No,Tier 1
ORD1106,CUST114,Home & Kitchen,Credit Card,803.89,30,5,5,5.0,Yes,Tier 1
ORD1107,CUST299,Fashion,Cash on Delivery,650.87,15,7,7,2.0,No,Tier 1
ORD1108,CUST305,Fashion,Debit Card,390.88,5,6,5,5.0,No,Tier 2
ORD1109,CUST314,Home & Kitchen,Credit Card,1002.97,0,6,6,3.0,Yes,Tier 3
ORD1110,CUST348,Electronics,Credit Card,367.18,10,2,2,4.0,No,Tier 3
ORD1111,CUST289,Fashion,Debit Card,2365.67,0,7,7,3.0,No,Tier 1
ORD1112,CUST139,Home & Kitchen,Credit Card,755.2,30,3,3,5.0,No,Tier 1
ORD1113,CUST312,Beauty,Cash on Delivery,763.63,10,2,2,2.0,No,Tier 3
ORD1114,CUST307,Fashion,upi,970.96,10,7,6,2.0,Yes,Tier 2
ORD1115,CUST336,Fashion,Credit Card,904.66,5,2,2,4.0,Yes,Tier 1
ORD1116,CUST181,Electronics,Cash on Delivery,6524.37,0,6,5,2.0,No,Tier 2
ORD1117,CUST210,Fashion,UPI,1145.96,15,5,6,2.0,No,Tier 2
ORD1118,CUST152,Fashion,Cash on Delivery,310.8,15,2,6,5.0,No,Tier 2
ORD1119,CUST123,Electronics,upi,1320.36,15,3,10,,No,Tier 2
ORD1120,CUST253,Fashion,Cash on Delivery,397.26,0,4,6,3.0,No,Tier 1
ORD1121,CUST316,Fashion,Debit Card,237.71,10,7,8,5.0,No,Tier 3
ORD1122,CUST287,Electronics,upi,4437.93,10,2,3,4.0,No,Tier 2
ORD1123,CUST223,Fashion,UPI,1982.22,30,2,2,3.0,No,Tier 1
ORD1124,CUST336,Electronics,Debit Card,4900.99,5,3,4,4.0,No,Tier 1
ORD1125,CUST140,Fashion,Cash on Delivery,979.83,5,5,5,4.0,No,Tier 2
ORD1126,CUST256,Electronics,upi,1111.8,15,2,2,,Yes,Tier 1
ORD1127,CUST114,Beauty,UPI,421.19,15,2,3,3.0,No,Tier 1
ORD1128,CUST144,Home & Kitchen,Debit Card,540.28,10,5,5,4.0,No,Tier 2
ORD1129,CUST164,Home & Kitchen,UPI,2388.27,10,3,3,1.0,No,Tier 1
ORD1130,CUST188,Books,Cash on Delivery,728.41,10,7,11,2.0,Yes,Tier 2
ORD1131,CUST170,Fashion,UPI,,30,7,6,1.0,No,Tier 1
ORD1132,CUST108,Electronics,Credit Card,1681.38,10,2,2,,No,Tier 2
ORD1133,CUST187,Fashion,Debit Card,434.01,30,5,9,5.0,No,Tier 1
ORD1134,CUST228,Home & Kitchen,UPI,1049.78,10,2,3,4.0,No,Tier 1
ORD1135,CUST335,Home & Kitchen,Cash on Delivery,1557.56,30,4,4,4.0,Yes,Tier 1
ORD1136,CUST235,Fashion,Cash on Delivery,521.51,20,7,7,3.0,No,Tier 3
ORD1137,CUST315,Electronics,UPI,2331.22,5,6,6,2.0,No,Tier 3
ORD1138,CUST162,Fashion,Cash on Delivery,1144.49,30,4,6,3.0,No,Tier 1
ORD1139,CUST238,Fashion,upi,416.74,0,2,2,3.0,No,Tier 2
ORD1140,CUST342,Home & Kitchen,upi,1249.56,30,3,3,4.0,No,Tier 2
ORD1141,CUST180,Home & Kitchen,upi,9990.6,15,7,6,4.0,No,Tier 3
ORD1142,CUST235,Fashion,Credit Card,395.76,0,6,5,1.0,Yes,Tier 1
ORD1143,CUST262,Beauty,UPI,2236.33,15,4,8,1.0,No,Tier 2
ORD1144,CUST262,Home & Kitchen,Credit Card,478.79,50,7,7,2.0,No,Tier 1
ORD1145,CUST132,Electronics,Cash on Delivery,2030.05,0,5,6,3.0,No,Tier 1
ORD1146,CUST222,Electronics,Credit Card,1791.72,10,3,2,5.0,No,Tier 3
ORD1147,CUST104,Electronics,Cash on Delivery,628.85,15,4,5,4.0,No,Tier 2
ORD1148,CUST333,Electronics,Cash on Delivery,673.12,20,5,9,5.0,Yes,Tier 1
ORD1149,CUST330,Electronics,Debit Card,2087.27,10,2,2,4.0,No,Tier 1
ORD1150,CUST349,Electronics,upi,942.64,5,5,4,3.0,Yes,Tier 2
ORD1151,CUST140,Fashion,Cash on Delivery,1774.84,0,4,4,2.0,No,Tier 2
ORD1152,CUST127,Electronics,Debit Card,392.18,10,4,5,5.0,No,Tier 1
ORD1153,CUST234,Beauty,upi,2497.18,10,2,2,4.0,No,Tier 3
ORD1154,CUST300,Electronics,Cash on Delivery,1689.12,30,5,7,2.0,No,Tier 1
ORD1155,CUST171,Fashion,Cash on Delivery,3049.45,0,5,6,4.0,No,Tier 1
ORD1156,CUST111,Fashion,Credit Card,370.39,15,2,4,4.0,No,Tier 3
ORD1157,CUST261,Beauty,Credit Card,1278.77,0,5,6,4.0,No,Tier 1
ORD1158,CUST132,Electronics,upi,1296.91,0,7,6,5.0,No,Tier 1
ORD1159,CUST147,Fashion,Cash on Delivery,723.35,10,2,2,4.0,No,Tier 2
ORD1160,CUST346,Beauty,UPI,936.02,10,3,3,4.0,Yes,Tier 3
ORD1161,CUST250,Beauty,Credit Card,246.47,15,4,8,1.0,No,Tier 1
ORD1162,CUST161,Books,upi,1843.84,30,3,4,1.0,No,Tier 3
ORD1163,CUST315,Fashion,Cash on Delivery,1156.4,15,7,8,2.0,No,Tier 2
ORD1164,CUST136,Electronics,Cash on Delivery,271.37,50,7,7,1.0,No,Tier 1
ORD1165,CUST198,Home & Kitchen,UPI,1570.16,30,6,6,4.0,No,Tier 2
ORD1166,CUST271,Beauty,upi,954.59,10,6,7,4.0,No,Tier 1
ORD1167,CUST203,Home & Kitchen,Cash on Delivery,,20,6,6,2.0,No,Tier 1
ORD1168,CUST313,Home & Kitchen,Credit Card,4392.28,15,2,2,5.0,No,Tier 2
ORD1169,CUST318,Fashion,UPI,3773.76,0,5,6,2.0,No,Tier 3
ORD1170,CUST134,Books,upi,1063.15,15,7,6,3.0,No,Tier 1
ORD1171,CUST292,Electronics,UPI,318.03,0,3,3,3.0,No,Tier 1
ORD1172,CUST326,Fashion,Credit Card,1885.94,10,3,3,3.0,No,Tier 2
ORD1173,CUST200,Fashion,upi,1012.57,15,3,2,3.0,No,Tier 1
ORD1174,CUST274,Fashion,UPI,632.21,0,3,10,4.0,Yes,Tier 1
ORD1175,CUST305,Electronics,Debit Card,1011.36,5,6,6,3.0,No,Tier 1
ORD1176,CUST230,Electronics,Credit Card,1086.89,30,3,2,,No,Tier 2
ORD1177,CUST100,Home & Kitchen,Credit Card,1192.6,15,5,5,1.0,No,Tier 1
ORD1178,CUST104,Fashion,Credit Card,898.41,5,6,7,2.0,No,Tier 1
ORD1179,CUST317,Home & Kitchen,Debit Card,,15,3,3,1.0,No,Tier 3
ORD1180,CUST346,Electronics,Debit Card,3212.04,10,2,2,4.0,No,Tier 3
ORD1181,CUST241,Fashion,Cash on Delivery,739.8,10,4,3,1.0,No,Tier 2
ORD1182,CUST202,Fashion,UPI,1752.31,50,4,3,5.0,No,Tier 1
ORD1183,CUST126,Electronics,Cash on Delivery,2898.31,15,4,4,4.0,Yes,Tier 2
ORD1184,CUST236,Fashion,UPI,930.52,5,6,8,4.0,No,Tier 1
ORD1185,CUST306,Electronics,Debit Card,903.21,20,3,5,4.0,No,Tier 1
ORD1186,CUST114,Electronics,Debit Card,1305.92,30,7,6,2.0,No,Tier 2
ORD1187,CUST189,Beauty,Cash on Delivery,1274.04,0,7,7,2.0,No,Tier 1
ORD1188,CUST141,Fashion,upi,2171.53,5,7,11,3.0,No,Tier 1
ORD1189,CUST223,Books,Cash on Delivery,976.62,5,6,6,4.0,No,Tier 1
ORD1190,CUST304,Fashion,UPI,6863.22,15,5,7,3.0,No,Tier 1
ORD1191,CUST278,Home & Kitchen,Cash on Delivery,273.58,15,2,1,2.0,No,Tier 1
ORD1192,CUST162,Books,Credit Card,203.81,15,2,6,,No,Tier 3
ORD1193,CUST195,Home & Kitchen,UPI,1426.64,30,4,5,1.0,No,Tier 1
ORD1194,CUST330,Fashion,UPI,625.33,20,4,8,5.0,No,Tier 1
ORD1195,CUST340,Fashion,upi,529.93,0,7,8,4.0,No,Tier 1
ORD1196,CUST151,Fashion,Debit Card,648.58,5,7,7,3.0,No,Tier 3
ORD1197,CUST195,Beauty,UPI,554.93,10,4,8,2.0,No,Tier 2
ORD1198,CUST231,Books,Debit Card,237.53,5,3,3,2.0,No,Tier 1
ORD1199,CUST321,Beauty,Cash on Delivery,4470.81,15,5,5,4.0,No,Tier 3
ORD1200,CUST328,Electronics,Credit Card,499.3,30,5,6,4.0,No,Tier 1
ORD1201,CUST250,Home & Kitchen,upi,1789.25,5,5,6,4.0,No,Tier 1
ORD1202,CUST330,Beauty,Debit Card,1925.59,10,5,9,5.0,Yes,Tier 1
ORD1203,CUST336,Electronics,UPI,3378.45,20,4,4,4.0,No,Tier 1
ORD1204,CUST242,Electronics,Debit Card,237.23,10,2,3,2.0,No,Tier 1
ORD1205,CUST270,Home & Kitchen,UPI,2667.32,0,4,5,3.0,Yes,Tier 2
ORD1206,CUST128,Home & Kitchen,Debit Card,1098.97,10,5,4,5.0,No,Tier 1
ORD1207,CUST135,Books,UPI,1401.38,0,4,4,3.0,No,Tier 2
ORD1208,CUST112,Electronics,Cash on Delivery,1440.98,30,5,5,1.0,No,Tier 1
ORD1209,CUST259,Books,UPI,2256.41,0,6,6,4.0,No,Tier 1
ORD1210,CUST170,Electronics,UPI,686.69,10,7,14,3.0,Yes,Tier 1
ORD1211,CUST286,Electronics,Credit Card,1784.84,10,2,3,5.0,No,Tier 3
ORD1212,CUST342,Electronics,UPI,1102.4,50,6,7,4.0,Yes,Tier 1
ORD1213,CUST185,Books,Credit Card,2092.33,0,3,10,2.0,No,Tier 2
ORD1214,CUST127,Home & Kitchen,upi,5793.58,0,4,4,5.0,No,Tier 1
ORD1215,CUST165,Fashion,Credit Card,468.75,0,3,5,3.0,No,Tier 1
ORD1216,CUST269,Fashion,Cash on Delivery,6476.49,0,4,4,3.0,No,Tier 1
ORD1217,CUST144,Beauty,Credit Card,312.93,5,7,9,3.0,No,Tier 1
ORD1218,CUST161,Fashion,upi,202.78,15,6,6,1.0,No,Tier 1
ORD1219,CUST284,Books,Cash on Delivery,254.2,5,7,11,4.0,No,Tier 1
ORD1220,CUST344,Fashion,Debit Card,701.86,0,5,5,2.0,Yes,Tier 2
ORD1221,CUST233,Fashion,Debit Card,1402.57,20,7,7,3.0,No,Tier 1
ORD1222,CUST127,Fashion,Credit Card,285.83,5,7,8,3.0,No,Tier 2
ORD1223,CUST127,Fashion,Credit Card,206.82,5,5,5,4.0,Yes,Tier 1
ORD1224,CUST207,Home & Kitchen,upi,3519.28,5,4,5,5.0,No,Tier 2
ORD1225,CUST143,Fashion,upi,2270.67,50,5,5,2.0,No,Tier 2
ORD1226,CUST183,Electronics,UPI,2187.73,0,6,7,3.0,No,Tier 1
ORD1227,CUST129,Beauty,upi,2789.4,30,7,7,3.0,No,Tier 1
ORD1228,CUST289,Fashion,UPI,1644.9,20,5,4,2.0,No,Tier 2
ORD1229,CUST174,Fashion,Cash on Delivery,332.32,0,7,7,4.0,No,Tier 3
ORD1230,CUST227,Beauty,Credit Card,811.19,50,6,6,4.0,No,Tier 1
ORD1231,CUST349,Home & Kitchen,Cash on Delivery,1741.13,5,3,3,2.0,Yes,Tier 1
ORD1232,CUST346,Electronics,upi,594.76,0,6,6,3.0,No,Tier 3
ORD1233,CUST191,Beauty,Cash on Delivery,1595.42,20,2,2,2.0,No,Tier 1
ORD1234,CUST316,Home & Kitchen,Cash on Delivery,229.76,15,2,1,4.0,No,Tier 2
ORD1235,CUST330,Fashion,Cash on Delivery,638.58,15,2,2,2.0,No,Tier 1
ORD1236,CUST289,Electronics,upi,1155.89,0,7,9,,Yes,Tier 1
ORD1237,CUST324,Books,Cash on Delivery,1399.9,10,4,4,4.0,No,Tier 2
ORD1238,CUST228,Home & Kitchen,UPI,1232.58,20,4,4,3.0,No,Tier 2
ORD1239,CUST220,Fashion,upi,1635.83,5,4,5,4.0,Yes,Tier 1
ORD1240,CUST126,Beauty,Cash on Delivery,207.33,5,7,7,5.0,No,Tier 2
ORD1241,CUST289,Books,upi,327.69,0,6,7,4.0,Yes,Tier 2
ORD1242,CUST220,Electronics,Debit Card,2638.56,0,4,4,2.0,No,Tier 2
ORD1243,CUST215,Fashion,UPI,1573.9,30,3,3,3.0,No,Tier 1
ORD1244,CUST304,Electronics,Cash on Delivery,343.8,10,2,1,5.0,No,Tier 2
ORD1245,CUST332,Home & Kitchen,Debit Card,2414.76,50,6,7,4.0,No,Tier 2
ORD1246,CUST102,Electronics,Debit Card,532.85,5,2,3,4.0,No,Tier 2
ORD1247,CUST202,Home & Kitchen,upi,980.7,15,4,3,5.0,No,Tier 2
ORD1248,CUST297,Books,Debit Card,388.26,5,6,6,5.0,No,Tier 1
ORD1249,CUST299,Beauty,UPI,1685.9,5,5,12,5.0,No,Tier 2
ORD1250,CUST254,Fashion,UPI,1519.01,0,3,3,2.0,No,Tier 2
ORD1251,CUST236,Books,Credit Card,484.56,5,4,4,4.0,Yes,Tier 1
ORD1252,CUST161,Electronics,UPI,2588.84,10,4,8,4.0,No,Tier 1
ORD1253,CUST264,Books,Debit Card,815.61,50,3,4,4.0,No,Tier 1
ORD1254,CUST324,Electronics,UPI,615.25,15,3,3,4.0,Yes,Tier 2
ORD1255,CUST150,Fashion,upi,398.32,0,5,6,2.0,No,Tier 1
ORD1256,CUST333,Books,Credit Card,571.37,0,4,6,4.0,No,Tier 2
ORD1257,CUST271,Electronics,Debit Card,226.73,0,7,7,4.0,Yes,Tier 3
ORD1258,CUST251,Electronics,Credit Card,1250.34,10,4,4,2.0,No,Tier 2
ORD1259,CUST306,Home & Kitchen,Debit Card,2415.95,20,2,2,4.0,No,Tier 3
ORD1260,CUST158,Home & Kitchen,upi,1155.49,30,6,10,2.0,No,Tier 3
ORD1261,CUST217,Home & Kitchen,Credit Card,497.04,0,6,7,3.0,No,Tier 1
ORD1262,CUST259,Home & Kitchen,Cash on Delivery,241.1,10,2,1,1.0,No,Tier 2
ORD1263,CUST195,Fashion,Debit Card,489.92,10,6,8,3.0,No,Tier 1
ORD1264,CUST315,Fashion,Cash on Delivery,845.67,15,3,3,4.0,No,Tier 3
ORD1265,CUST332,Fashion,Credit Card,1910.6,10,6,5,4.0,Yes,Tier 1
ORD1266,CUST279,Electronics,Cash on Delivery,449.67,15,6,6,4.0,Yes,Tier 3
ORD1267,CUST212,Beauty,Cash on Delivery,1726.67,15,2,2,5.0,No,Tier 2
ORD1268,CUST161,Home & Kitchen,Credit Card,2620.29,0,5,7,3.0,No,Tier 2
ORD1269,CUST340,Fashion,upi,926.05,20,6,6,2.0,No,Tier 1
ORD1270,CUST285,Fashion,Cash on Delivery,2267.34,0,7,9,5.0,No,Tier 1
ORD1271,CUST151,Beauty,Cash on Delivery,1170.69,15,6,6,2.0,No,Tier 2
ORD1272,CUST111,Electronics,upi,1416.32,10,5,4,,Yes,Tier 1
ORD1273,CUST138,Home & Kitchen,Cash on Delivery,1096.56,10,2,9,5.0,No,Tier 3
ORD1274,CUST229,Fashion,Cash on Delivery,946.49,30,5,5,4.0,Yes,Tier 1
ORD1275,CUST230,Home & Kitchen,Cash on Delivery,520.91,30,2,2,,No,Tier 2
ORD1276,CUST212,Electronics,UPI,633.5,20,3,3,2.0,No,Tier 1
ORD1277,CUST200,Beauty,upi,610.94,10,2,4,3.0,No,Tier 2
ORD1278,CUST212,Beauty,Cash on Delivery,1194.18,15,3,3,4.0,No,Tier 2
ORD1279,CUST283,Home & Kitchen,upi,353.34,10,3,3,3.0,No,Tier 1
ORD1280,CUST180,Home & Kitchen,Debit Card,3183.69,30,2,1,5.0,No,Tier 1
ORD1281,CUST286,Beauty,Debit Card,1730.37,10,7,7,1.0,No,Tier 1
ORD1282,CUST212,Home & Kitchen,Cash on Delivery,815.89,50,4,5,4.0,Yes,Tier 2
ORD1283,CUST101,Electronics,upi,407.26,30,2,2,4.0,No,Tier 2
ORD1284,CUST229,Home & Kitchen,upi,2764.41,15,6,6,4.0,No,Tier 2
ORD1285,CUST319,Home & Kitchen,upi,2283.21,5,7,7,3.0,No,Tier 2
ORD1286,CUST153,Fashion,UPI,1734.96,0,7,7,3.0,Yes,Tier 1
ORD1287,CUST186,Home & Kitchen,Debit Card,580.2,30,6,10,5.0,No,Tier 1
ORD1288,CUST328,Beauty,upi,817.89,0,4,4,2.0,No,Tier 1
ORD1289,CUST323,Beauty,upi,330.1,30,7,14,5.0,No,Tier 1
ORD1290,CUST324,Fashion,UPI,451.44,10,3,3,4.0,Yes,Tier 3
ORD1291,CUST228,Electronics,UPI,2033.52,10,4,4,4.0,Yes,Tier 3
ORD1292,CUST246,Beauty,upi,1706.48,30,6,8,4.0,No,Tier 1
ORD1293,CUST225,Books,Credit Card,1280.16,15,4,4,3.0,No,Tier 2
ORD1294,CUST229,Electronics,upi,2912.89,10,2,3,4.0,No,Tier 3
ORD1295,CUST152,Beauty,upi,1250.37,10,4,11,5.0,No,Tier 1
ORD1296,CUST271,Beauty,UPI,955.01,5,3,2,3.0,No,Tier 1
ORD1297,CUST317,Fashion,UPI,699.29,20,2,1,,No,Tier 1
ORD1298,CUST259,Home & Kitchen,upi,3585.1,5,5,6,4.0,No,Tier 2
ORD1299,CUST297,Fashion,upi,303.61,30,6,6,2.0,No,Tier 3
ORD1300,CUST259,Electronics,upi,3406.42,30,6,6,3.0,Yes,Tier 2
ORD1301,CUST346,Fashion,UPI,2303.38,5,4,3,,Yes,Tier 1
ORD1302,CUST167,Books,upi,367.02,15,7,6,3.0,No,Tier 1
ORD1303,CUST282,Electronics,upi,1198.85,10,2,3,5.0,Yes,Tier 2
ORD1304,CUST302,Fashion,Cash on Delivery,2616.82,5,5,4,5.0,No,Tier 3
ORD1305,CUST283,Fashion,Credit Card,1217.82,50,2,2,3.0,Yes,Tier 2
ORD1306,CUST222,Fashion,Debit Card,3052.77,0,6,7,2.0,No,Tier 2
ORD1307,CUST244,Beauty,Credit Card,3637.3,5,2,2,4.0,No,Tier 1
