Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Order,Net_Revenue,Severe_Delay,Customer_Segment
ORD1021,CUST152,Electronics,CREDIT CARD,1091.185,0,2,2,4.0,No,Tier 2,0,On-Time,True,1091.185,False,Standard Order
ORD1022,CUST101,Beauty,UPI,1194.18,5,7,8,4.0,No,Tier 1,1,Unknown,Same,1134.471,False,Loyal & Satisfied
ORD1023,CUST187,Home & Kitchen,CASH ON DELIVERY,1137.04,15,6,6,4.0,No,Tier 2,0,On-Time,True,966.484,False,Loyal & Satisfied
ORD1024,CUST335,Electronics,UPI,1091.185,10,5,5,4.0,No,Tier 2,0,On-Time,True,982.0665,False,Standard Order
ORD1025,CUST257,Home & Kitchen,CREDIT CARD,1137.04,20,6,5,2.0,No,Tier 2,-1,Early,True,909.632,False,Standard Order
ORD1026,CUST137,Home & Kitchen,DEBIT CARD,1137.04,30,2,2,4.0,Yes,Tier 2,0,On-Time,True,795.9279999999999,False,High-Risk Transaction
ORD1027,CUST229,Fashion,CASH ON DELIVERY,1006.55,10,4,4,4.0,No,Tier 2,0,On-Time,True,905.895,False,Standard Order
ORD1028,CUST291,Electronics,UPI,1091.185,20,7,9,2.0,No,Tier 3,2,Unknown,True,872.948,False,Standard Order
ORD1029,CUST287,Home & Kitchen,UPI,1137.04,5,6,7,3.0,No,Tier 2,1,Unknown,True,1080.188,False,Standard Order
ORD1030,CUST120,Fashion,CREDIT CARD,1006.55,10,3,3,5.0,No,Tier 3,0,On-Time,True,905.895,False,Standard Order
ORD1031,CUST260,Books,UPI,1146.7800000000002,15,5,9,5.0,No,Tier 3,4,Severe Delay,True,974.763,True,Loyal & Satisfied
ORD1032,CUST303,Fashion,UPI,1006.55,5,6,7,2.0,No,Tier 1,1,Unknown,True,956.2225,False,Standard Order
ORD1033,CUST157,Beauty,UPI,1194.18,10,5,9,2.0,No,Tier 1,4,Severe Delay,Same,1074.7620000000002,True,Standard Order
ORD1034,CUST121,Home & Kitchen,CASH ON DELIVERY,1137.04,0,7,7,3.0,No,Tier 1,0,On-Time,True,1137.04,False,Standard Order
ORD1035,CUST335,Home & Kitchen,CASH ON DELIVERY,1137.04,10,3,3,5.0,Yes,Tier 3,0,On-Time,True,1023.336,False,Standard Order
ORD1036,CUST188,Beauty,CASH ON DELIVERY,1194.18,30,4,3,2.0,No,Tier 1,-1,Early,Same,835.926,False,Standard Order
ORD1037,CUST148,Fashion,CREDIT CARD,1006.55,30,4,5,4.0,No,Tier 2,1,Unknown,True,704.5849999999999,False,Standard Order
ORD1038,CUST318,Electronics,CASH ON DELIVERY,1091.185,15,3,2,2.0,Yes,Tier 3,-1,Early,True,927.50725,False,Standard Order
ORD1039,CUST158,Electronics,UPI,1091.185,15,5,5,4.0,No,Tier 1,0,On-Time,True,927.50725,False,Standard Order
ORD1040,CUST269,Books,UPI,1146.7800000000002,10,7,7,3.0,No,Tier 2,0,On-Time,True,1032.1020000000003,False,Standard Order
ORD1041,CUST319,Home & Kitchen,DEBIT CARD,1137.04,10,6,6,4.0,No,Tier 1,0,On-Time,True,1023.336,False,Loyal & Satisfied
ORD1042,CUST287,Home & Kitchen,UPI,1137.04,0,3,4,3.0,No,Tier 1,1,Unknown,True,1137.04,False,Standard Order
ORD1043,CUST307,Electronics,UPI,1091.185,10,2,2,4.0,No,Tier 2,0,On-Time,True,982.0665,False,Standard Order
ORD1044,CUST114,Electronics,CASH ON DELIVERY,1091.185,10,5,5,3.0,No,Tier 1,0,On-Time,True,982.0665,False,Standard Order
ORD1045,CUST289,Electronics,CREDIT CARD,1091.185,50,4,5,4.0,No,Tier 1,1,Unknown,True,545.5925,False,Standard Order
ORD1046,CUST289,Fashion,UPI,1006.55,10,3,7,5.0,No,Tier 3,4,Severe Delay,True,905.895,True,Standard Order
ORD1047,CUST274,Home & Kitchen,CREDIT CARD,1137.04,10,4,5,2.0,No,Tier 1,1,Unknown,True,1023.336,False,Standard Order
ORD1048,CUST289,Fashion,UPI,1006.55,10,5,9,5.0,No,Tier 3,4,Severe Delay,True,905.895,True,Standard Order
ORD1049,CUST150,Fashion,UPI,1006.55,15,4,5,4.0,No,Tier 3,1,Unknown,True,855.5675,False,Standard Order
ORD1050,CUST207,Beauty,CREDIT CARD,1194.18,15,3,3,2.0,No,Tier 1,0,On-Time,Same,1015.053,False,Standard Order
ORD1051,CUST154,Fashion,UPI,1006.55,5,5,5,3.0,No,Tier 1,0,On-Time,True,956.2225,False,Standard Order
ORD1052,CUST343,Fashion,UPI,1006.55,10,2,3,2.0,Yes,Tier 2,1,Unknown,True,905.895,False,Standard Order
ORD1053,CUST163,Books,CREDIT CARD,1146.7800000000002,20,3,4,4.0,No,Tier 2,1,Unknown,True,917.4240000000002,False,Loyal & Satisfied
ORD1054,CUST348,Fashion,UPI,1006.55,10,6,7,4.0,No,Tier 1,1,Unknown,True,905.895,False,Standard Order
ORD1055,CUST230,Home & Kitchen,DEBIT CARD,1137.04,5,7,7,2.0,No,Tier 2,0,On-Time,True,1080.188,False,Standard Order
ORD1056,CUST328,Beauty,UPI,1194.18,15,3,3,4.0,Yes,Tier 1,0,On-Time,Same,1015.053,False,Standard Order
ORD1057,CUST150,Beauty,CASH ON DELIVERY,1194.18,20,5,5,5.0,No,Tier 3,0,On-Time,Same,955.344,False,Loyal & Satisfied
ORD1058,CUST234,Electronics,UPI,1091.185,0,7,7,5.0,No,Tier 1,0,On-Time,True,1091.185,False,Standard Order
ORD1059,CUST120,Beauty,DEBIT CARD,1194.18,20,3,3,4.0,No,Tier 1,0,On-Time,Same,955.344,False,Loyal & Satisfied
ORD1060,CUST172,Fashion,CASH ON DELIVERY,1006.55,20,2,4,4.0,No,Tier 1,2,Unknown,True,805.24,False,Standard Order
ORD1061,CUST266,Fashion,CASH ON DELIVERY,1006.55,10,2,2,4.0,No,Tier 3,0,On-Time,True,905.895,False,Standard Order
ORD1062,CUST117,Fashion,UPI,1006.55,50,6,5,3.0,No,Tier 2,-1,Early,True,503.275,False,Standard Order
ORD1063,CUST231,Beauty,CREDIT CARD,1194.18,20,4,4,5.0,No,Tier 3,0,On-Time,Same,955.344,False,Loyal & Satisfied
ORD1064,CUST188,Fashion,UPI,1006.55,20,7,8,4.0,Yes,Tier 1,1,Unknown,True,805.24,False,Standard Order
ORD1065,CUST159,Fashion,DEBIT CARD,1006.55,15,5,5,4.0,No,Tier 1,0,On-Time,True,855.5675,False,Standard Order
ORD1066,CUST113,Home & Kitchen,CASH ON DELIVERY,1137.04,0,5,5,4.0,No,Tier 1,0,On-Time,True,1137.04,False,Loyal & Satisfied
ORD1067,CUST341,Electronics,UPI,1091.185,5,4,4,5.0,No,Tier 2,0,On-Time,True,1036.62575,False,Standard Order
ORD1068,CUST349,Electronics,CREDIT CARD,1091.185,10,2,2,5.0,No,Tier 2,0,On-Time,True,982.0665,False,Standard Order
ORD1069,CUST108,Electronics,UPI,1091.185,5,2,6,3.0,No,Tier 2,4,Severe Delay,True,1036.62575,True,Standard Order
ORD1070,CUST189,Electronics,UPI,1091.185,10,3,7,3.0,No,Tier 1,4,Severe Delay,True,982.0665,True,Standard Order
ORD1071,CUST152,Electronics,CREDIT CARD,1091.185,30,6,6,4.0,No,Tier 3,0,On-Time,True,763.8294999999999,False,Standard Order
ORD1072,CUST229,Electronics,DEBIT CARD,1091.185,20,7,7,4.0,No,Tier 1,0,On-Time,True,872.948,False,Standard Order
ORD1073,CUST183,Home & Kitchen,CASH ON DELIVERY,1137.04,15,6,7,3.0,Yes,Tier 3,1,Unknown,True,966.484,False,Standard Order
ORD1074,CUST191,Electronics,UPI,1091.185,30,6,5,4.0,No,Tier 1,-1,Early,True,763.8294999999999,False,Standard Order
ORD1075,CUST210,Fashion,CREDIT CARD,1006.55,20,3,3,4.0,Yes,Tier 2,0,On-Time,True,805.24,False,Standard Order
ORD1076,CUST287,Beauty,UPI,1194.18,10,6,6,3.0,No,Tier 1,0,On-Time,Same,1074.7620000000002,False,Standard Order
ORD1077,CUST298,Fashion,CREDIT CARD,1006.55,5,4,8,2.0,Yes,Tier 1,4,Severe Delay,True,956.2225,True,Standard Order
ORD1078,CUST271,Home & Kitchen,UPI,1137.04,10,3,2,3.0,No,Tier 2,-1,Early,True,1023.336,False,Standard Order
ORD1079,CUST107,Electronics,DEBIT CARD,1091.185,15,4,4,5.0,No,Tier 1,0,On-Time,True,927.50725,False,Standard Order
ORD1080,CUST274,Electronics,CASH ON DELIVERY,1091.185,10,3,4,3.0,No,Tier 1,1,Unknown,True,982.0665,False,Standard Order
ORD1081,CUST134,Electronics,DEBIT CARD,1091.185,15,6,6,2.0,No,Tier 2,0,On-Time,True,927.50725,False,Standard Order
ORD1082,CUST305,Electronics,UPI,1091.185,0,4,3,4.0,Yes,Tier 2,-1,Early,True,1091.185,False,Standard Order
ORD1083,CUST180,Fashion,CREDIT CARD,1006.55,15,4,11,3.0,No,Tier 3,7,Severe Delay,True,855.5675,True,Standard Order
ORD1084,CUST263,Electronics,UPI,1091.185,20,4,4,1.0,No,Tier 1,0,On-Time,True,872.948,False,Standard Order
ORD1085,CUST149,Electronics,UPI,1091.185,15,3,4,3.0,No,Tier 2,1,Unknown,True,927.50725,False,Standard Order
ORD1086,CUST203,Electronics,CREDIT CARD,1091.185,50,5,5,4.0,No,Tier 2,0,On-Time,True,545.5925,False,Standard Order
ORD1087,CUST231,Fashion,CREDIT CARD,1006.55,20,6,6,4.0,No,Tier 1,0,On-Time,True,805.24,False,Standard Order
ORD1088,CUST101,Electronics,UPI,1091.185,30,4,4,3.0,No,Tier 2,0,On-Time,True,763.8294999999999,False,Standard Order
ORD1089,CUST233,Fashion,DEBIT CARD,1006.55,30,7,6,3.0,No,Tier 1,-1,Early,True,704.5849999999999,False,Standard Order
ORD1090,CUST153,Fashion,UPI,1006.55,20,5,4,4.0,No,Tier 1,-1,Early,True,805.24,False,Standard Order
ORD1091,CUST205,Home & Kitchen,UPI,1137.04,15,7,9,3.0,No,Tier 1,2,Unknown,True,966.484,False,Standard Order
ORD1092,CUST103,Electronics,DEBIT CARD,1091.185,0,6,6,3.0,No,Tier 1,0,On-Time,True,1091.185,False,Standard Order
ORD1093,CUST153,Books,UPI,1146.7800000000002,10,6,6,3.0,No,Tier 2,0,On-Time,True,1032.1020000000003,False,Standard Order
ORD1094,CUST320,Home & Kitchen,UPI,1137.04,10,4,4,4.0,Yes,Tier 2,0,On-Time,True,1023.336,False,Standard Order
ORD1095,CUST290,Electronics,CREDIT CARD,1091.185,5,4,5,4.0,No,Tier 3,1,Unknown,True,1036.62575,False,Standard Order
ORD1096,CUST245,Beauty,CREDIT CARD,1194.18,5,3,2,3.0,No,Tier 2,-1,Early,Same,1134.471,False,Standard Order
ORD1097,CUST317,Beauty,DEBIT CARD,1194.18,50,5,5,4.0,No,Tier 1,0,On-Time,Same,597.09,False,Loyal & Satisfied
ORD1098,CUST143,Electronics,CASH ON DELIVERY,1091.185,30,5,4,1.0,Yes,Tier 3,-1,Early,True,763.8294999999999,False,High-Risk Transaction
ORD1099,CUST261,Fashion,DEBIT CARD,1006.55,20,4,3,3.0,Yes,Tier 3,-1,Early,True,805.24,False,Standard Order
ORD1100,CUST301,Books,CASH ON DELIVERY,1146.7800000000002,10,6,5,4.0,No,Tier 1,-1,Early,True,1032.1020000000003,False,Loyal & Satisfied
ORD1101,CUST289,Home & Kitchen,UPI,1137.04,0,4,6,3.0,No,Tier 2,2,Unknown,True,1137.04,False,Standard Order
ORD1102,CUST327,Electronics,UPI,1091.185,0,6,5,4.0,Yes,Tier 3,-1,Early,True,1091.185,False,Standard Order
ORD1103,CUST113,Electronics,UPI,1091.185,5,6,5,3.0,No,Tier 2,-1,Early,True,1036.62575,False,Standard Order
ORD1104,CUST194,Fashion,CASH ON DELIVERY,1006.55,0,4,4,4.0,No,Tier 3,0,On-Time,True,1006.55,False,Standard Order
ORD1105,CUST147,Fashion,UPI,1006.55,0,2,4,1.0,No,Tier 1,2,Unknown,True,1006.55,False,Standard Order
ORD1106,CUST114,Home & Kitchen,CREDIT CARD,1137.04,30,5,5,5.0,Yes,Tier 1,0,On-Time,True,795.9279999999999,False,High-Risk Transaction
ORD1107,CUST299,Fashion,CASH ON DELIVERY,1006.55,15,7,7,2.0,No,Tier 1,0,On-Time,True,855.5675,False,Standard Order
ORD1108,CUST305,Fashion,DEBIT CARD,1006.55,5,6,5,5.0,No,Tier 2,-1,Early,True,956.2225,False,Standard Order
ORD1109,CUST314,Home & Kitchen,CREDIT CARD,1137.04,0,6,6,3.0,Yes,Tier 3,0,On-Time,True,1137.04,False,Standard Order
ORD1110,CUST348,Electronics,CREDIT CARD,1091.185,10,2,2,4.0,No,Tier 3,0,On-Time,True,982.0665,False,Standard Order
ORD1111,CUST289,Fashion,DEBIT CARD,1006.55,0,7,7,3.0,No,Tier 1,0,On-Time,True,1006.55,False,Standard Order
ORD1112,CUST139,Home & Kitchen,CREDIT CARD,1137.04,30,3,3,5.0,No,Tier 1,0,On-Time,True,795.9279999999999,False,Loyal & Satisfied
ORD1113,CUST312,Beauty,CASH ON DELIVERY,1194.18,10,2,2,2.0,No,Tier 3,0,On-Time,Same,1074.7620000000002,False,Standard Order
ORD1114,CUST307,Fashion,UPI,1006.55,10,7,6,2.0,Yes,Tier 2,-1,Early,True,905.895,False,Standard Order
ORD1115,CUST336,Fashion,CREDIT CARD,1006.55,5,2,2,4.0,Yes,Tier 1,0,On-Time,True,956.2225,False,Standard Order
ORD1116,CUST181,Electronics,CASH ON DELIVERY,1091.185,0,6,5,2.0,No,Tier 2,-1,Early,True,1091.185,False,Standard Order
ORD1117,CUST210,Fashion,UPI,1006.55,15,5,6,2.0,No,Tier 2,1,Unknown,True,855.5675,False,Standard Order
ORD1118,CUST152,Fashion,CASH ON DELIVERY,1006.55,15,2,6,5.0,No,Tier 2,4,Severe Delay,True,855.5675,True,Standard Order
ORD1119,CUST123,Electronics,UPI,1091.185,15,3,10,4.0,No,Tier 2,7,Severe Delay,True,927.50725,True,Standard Order
ORD1120,CUST253,Fashion,CASH ON DELIVERY,1006.55,0,4,6,3.0,No,Tier 1,2,Unknown,True,1006.55,False,Standard Order
ORD1121,CUST316,Fashion,DEBIT CARD,1006.55,10,7,8,5.0,No,Tier 3,1,Unknown,True,905.895,False,Standard Order
ORD1122,CUST287,Electronics,UPI,1091.185,10,2,3,4.0,No,Tier 2,1,Unknown,True,982.0665,False,Standard Order
ORD1123,CUST223,Fashion,UPI,1006.55,30,2,2,3.0,No,Tier 1,0,On-Time,True,704.5849999999999,False,Standard Order
ORD1124,CUST336,Electronics,DEBIT CARD,1091.185,5,3,4,4.0,No,Tier 1,1,Unknown,True,1036.62575,False,Standard Order
ORD1125,CUST140,Fashion,CASH ON DELIVERY,1006.55,5,5,5,4.0,No,Tier 2,0,On-Time,True,956.2225,False,Standard Order
ORD1126,CUST256,Electronics,UPI,1091.185,15,2,2,4.0,Yes,Tier 1,0,On-Time,True,927.50725,False,Standard Order
ORD1127,CUST114,Beauty,UPI,1194.18,15,2,3,3.0,No,Tier 1,1,Unknown,Same,1015.053,False,Standard Order
ORD1128,CUST144,Home & Kitchen,DEBIT CARD,1137.04,10,5,5,4.0,No,Tier 2,0,On-Time,True,1023.336,False,Loyal & Satisfied
ORD1129,CUST164,Home & Kitchen,UPI,1137.04,10,3,3,1.0,No,Tier 1,0,On-Time,True,1023.336,False,Standard Order
ORD1130,CUST188,Books,CASH ON DELIVERY,1146.7800000000002,10,7,11,2.0,Yes,Tier 2,4,Severe Delay,True,1032.1020000000003,True,Standard Order
ORD1131,CUST170,Fashion,UPI,1006.55,30,7,6,1.0,No,Tier 1,-1,Early,True,704.5849999999999,False,Standard Order
ORD1132,CUST108,Electronics,CREDIT CARD,1091.185,10,2,2,4.0,No,Tier 2,0,On-Time,True,982.0665,False,Standard Order
ORD1133,CUST187,Fashion,DEBIT CARD,1006.55,30,5,9,5.0,No,Tier 1,4,Severe Delay,True,704.5849999999999,True,Standard Order
ORD1134,CUST228,Home & Kitchen,UPI,1137.04,10,2,3,4.0,No,Tier 1,1,Unknown,True,1023.336,False,Loyal & Satisfied
ORD1135,CUST335,Home & Kitchen,CASH ON DELIVERY,1137.04,30,4,4,4.0,Yes,Tier 1,0,On-Time,True,795.9279999999999,False,High-Risk Transaction
ORD1136,CUST235,Fashion,CASH ON DELIVERY,1006.55,20,7,7,3.0,No,Tier 3,0,On-Time,True,805.24,False,Standard Order
ORD1137,CUST315,Electronics,UPI,1091.185,5,6,6,2.0,No,Tier 3,0,On-Time,True,1036.62575,False,Standard Order
ORD1138,CUST162,Fashion,CASH ON DELIVERY,1006.55,30,4,6,3.0,No,Tier 1,2,Unknown,True,704.5849999999999,False,Standard Order
ORD1139,CUST238,Fashion,UPI,1006.55,0,2,2,3.0,No,Tier 2,0,On-Time,True,1006.55,False,Standard Order
ORD1140,CUST342,Home & Kitchen,UPI,1137.04,30,3,3,4.0,No,Tier 2,0,On-Time,True,795.9279999999999,False,Loyal & Satisfied
ORD1141,CUST180,Home & Kitchen,UPI,1137.04,15,7,6,4.0,No,Tier 3,-1,Early,True,966.484,False,Loyal & Satisfied
ORD1142,CUST235,Fashion,CREDIT CARD,1006.55,0,6,5,1.0,Yes,Tier 1,-1,Early,True,1006.55,False,Standard Order
ORD1143,CUST262,Beauty,UPI,1194.18,15,4,8,1.0,No,Tier 2,4,Severe Delay,Same,1015.053,True,Standard Order
ORD1144,CUST262,Home & Kitchen,CREDIT CARD,1137.04,50,7,7,2.0,No,Tier 1,0,On-Time,True,568.52,False,Standard Order
ORD1145,CUST132,Electronics,CASH ON DELIVERY,1091.185,0,5,6,3.0,No,Tier 1,1,Unknown,True,1091.185,False,Standard Order
ORD1146,CUST222,Electronics,CREDIT CARD,1091.185,10,3,2,5.0,No,Tier 3,-1,Early,True,982.0665,False,Standard Order
ORD1147,CUST104,Electronics,CASH ON DELIVERY,1091.185,15,4,5,4.0,No,Tier 2,1,Unknown,True,927.50725,False,Standard Order
ORD1148,CUST333,Electronics,CASH ON DELIVERY,1091.185,20,5,9,5.0,Yes,Tier 1,4,Severe Delay,True,872.948,True,Standard Order
ORD1149,CUST330,Electronics,DEBIT CARD,1091.185,10,2,2,4.0,No,Tier 1,0,On-Time,True,982.0665,False,Standard Order
ORD1150,CUST349,Electronics,UPI,1091.185,5,5,4,3.0,Yes,Tier 2,-1,Early,True,1036.62575,False,Standard Order
ORD1151,CUST140,Fashion,CASH ON DELIVERY,1006.55,0,4,4,2.0,No,Tier 2,0,On-Time,True,1006.55,False,Standard Order
ORD1152,CUST127,Electronics,DEBIT CARD,1091.185,10,4,5,5.0,No,Tier 1,1,Unknown,True,982.0665,False,Standard Order
ORD1153,CUST234,Beauty,UPI,1194.18,10,2,2,4.0,No,Tier 3,0,On-Time,Same,1074.7620000000002,False,Loyal & Satisfied
ORD1154,CUST300,Electronics,CASH ON DELIVERY,1091.185,30,5,7,2.0,No,Tier 1,2,Unknown,True,763.8294999999999,False,Standard Order
ORD1155,CUST171,Fashion,CASH ON DELIVERY,1006.55,0,5,6,4.0,No,Tier 1,1,Unknown,True,1006.55,False,Standard Order
ORD1156,CUST111,Fashion,CREDIT CARD,1006.55,15,2,4,4.0,No,Tier 3,2,Unknown,True,855.5675,False,Standard Order
ORD1157,CUST261,Beauty,CREDIT CARD,1194.18,0,5,6,4.0,No,Tier 1,1,Unknown,Same,1194.18,False,Loyal & Satisfied
ORD1158,CUST132,Electronics,UPI,1091.185,0,7,6,5.0,No,Tier 1,-1,Early,True,1091.185,False,Standard Order
ORD1159,CUST147,Fashion,CASH ON DELIVERY,1006.55,10,2,2,4.0,No,Tier 2,0,On-Time,True,905.895,False,Standard Order
ORD1160,CUST346,Beauty,UPI,1194.18,10,3,3,4.0,Yes,Tier 3,0,On-Time,Same,1074.7620000000002,False,Standard Order
ORD1161,CUST250,Beauty,CREDIT CARD,1194.18,15,4,8,1.0,No,Tier 1,4,Severe Delay,Same,1015.053,True,Standard Order
ORD1162,CUST161,Books,UPI,1146.7800000000002,30,3,4,1.0,No,Tier 3,1,Unknown,True,802.7460000000001,False,Standard Order
ORD1163,CUST315,Fashion,CASH ON DELIVERY,1006.55,15,7,8,2.0,No,Tier 2,1,Unknown,True,855.5675,False,Standard Order
ORD1164,CUST136,Electronics,CASH ON DELIVERY,1091.185,50,7,7,1.0,No,Tier 1,0,On-Time,True,545.5925,False,Standard Order
ORD1165,CUST198,Home & Kitchen,UPI,1137.04,30,6,6,4.0,No,Tier 2,0,On-Time,True,795.9279999999999,False,Loyal & Satisfied
ORD1166,CUST271,Beauty,UPI,1194.18,10,6,7,4.0,No,Tier 1,1,Unknown,Same,1074.7620000000002,False,Loyal & Satisfied
ORD1167,CUST203,Home & Kitchen,CASH ON DELIVERY,1137.04,20,6,6,2.0,No,Tier 1,0,On-Time,True,909.632,False,Standard Order
ORD1168,CUST313,Home & Kitchen,CREDIT CARD,1137.04,15,2,2,5.0,No,Tier 2,0,On-Time,True,966.484,False,Loyal & Satisfied
ORD1169,CUST318,Fashion,UPI,1006.55,0,5,6,2.0,No,Tier 3,1,Unknown,True,1006.55,False,Standard Order
ORD1170,CUST134,Books,UPI,1146.7800000000002,15,7,6,3.0,No,Tier 1,-1,Early,True,974.763,False,Standard Order
ORD1171,CUST292,Electronics,UPI,1091.185,0,3,3,3.0,No,Tier 1,0,On-Time,True,1091.185,False,Standard Order
ORD1172,CUST326,Fashion,CREDIT CARD,1006.55,10,3,3,3.0,No,Tier 2,0,On-Time,True,905.895,False,Standard Order
ORD1173,CUST200,Fashion,UPI,1006.55,15,3,2,3.0,No,Tier 1,-1,Early,True,855.5675,False,Standard Order
ORD1174,CUST274,Fashion,UPI,1006.55,0,3,10,4.0,Yes,Tier 1,7,Severe Delay,True,1006.55,True,Standard Order
ORD1175,CUST305,Electronics,DEBIT CARD,1091.185,5,6,6,3.0,No,Tier 1,0,On-Time,True,1036.62575,False,Standard Order
ORD1176,CUST230,Electronics,CREDIT CARD,1091.185,30,3,2,4.0,No,Tier 2,-1,Early,True,763.8294999999999,False,Standard Order
ORD1177,CUST100,Home & Kitchen,CREDIT CARD,1137.04,15,5,5,1.0,No,Tier 1,0,On-Time,True,966.484,False,Standard Order
ORD1178,CUST104,Fashion,CREDIT CARD,1006.55,5,6,7,2.0,No,Tier 1,1,Unknown,True,956.2225,False,Standard Order
ORD1179,CUST317,Home & Kitchen,DEBIT CARD,1137.04,15,3,3,1.0,No,Tier 3,0,On-Time,True,966.484,False,Standard Order
ORD1180,CUST346,Electronics,DEBIT CARD,1091.185,10,2,2,4.0,No,Tier 3,0,On-Time,True,982.0665,False,Standard Order
ORD1181,CUST241,Fashion,CASH ON DELIVERY,1006.55,10,4,3,1.0,No,Tier 2,-1,Early,True,905.895,False,Standard Order
ORD1182,CUST202,Fashion,UPI,1006.55,50,4,3,5.0,No,Tier 1,-1,Early,True,503.275,False,Standard Order
ORD1183,CUST126,Electronics,CASH ON DELIVERY,1091.185,15,4,4,4.0,Yes,Tier 2,0,On-Time,True,927.50725,False,Standard Order
ORD1184,CUST236,Fashion,UPI,1006.55,5,6,8,4.0,No,Tier 1,2,Unknown,True,956.2225,False,Standard Order
ORD1185,CUST306,Electronics,DEBIT CARD,1091.185,20,3,5,4.0,No,Tier 1,2,Unknown,True,872.948,False,Standard Order
ORD1186,CUST114,Electronics,DEBIT CARD,1091.185,30,7,6,2.0,No,Tier 2,-1,Early,True,763.8294999999999,False,Standard Order
ORD1187,CUST189,Beauty,CASH ON DELIVERY,1194.18,0,7,7,2.0,No,Tier 1,0,On-Time,Same,1194.18,False,Standard Order
ORD1188,CUST141,Fashion,UPI,1006.55,5,7,11,3.0,No,Tier 1,4,Severe Delay,True,956.2225,True,Standard Order
ORD1189,CUST223,Books,CASH ON DELIVERY,1146.7800000000002,5,6,6,4.0,No,Tier 1,0,On-Time,True,1089.441,False,Loyal & Satisfied
ORD1190,CUST304,Fashion,UPI,1006.55,15,5,7,3.0,No,Tier 1,2,Unknown,True,855.5675,False,Standard Order
ORD1191,CUST278,Home & Kitchen,CASH ON DELIVERY,1137.04,15,2,1,2.0,No,Tier 1,-1,Early,True,966.484,False,Standard Order
